City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
199,Cabo San Lucas,MX,84.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
202,Richards Bay,ZA,76.59,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
203,Lady Frere,ZA,65.7,scattered clouds,-31.7031,27.2329,Goshen BnB
206,Gurupi,BR,76.93,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
208,Mamallapuram,IN,79.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
209,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
211,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
213,Sume,BR,86.27,overcast clouds,-7.6717,-36.88,Pousada Sumé ll
214,Acarau,BR,80.51,clear sky,-2.8856,-40.12,castelo pizzaria
219,Matola,MZ,79.52,few clouds,-25.9622,32.4589,Guesthouse Yuba
220,Guerrero Negro,MX,81.52,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Rio Bueno,CL,84.34,few clouds,-40.3167,-72.9667,Hostal Caulle
226,Sao Filipe,CV,74.82,scattered clouds,14.8961,-24.4956,Hotel Xaguate
229,Morro Bay,US,85.33,clear sky,35.3658,-120.8499,Inn at Morro Bay
231,Hilo,US,74.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
235,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
239,Kaeo,NZ,64.33,overcast clouds,-35.1,173.7833,Bushido Lodge
240,Kingaroy,AU,62.64,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
241,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
242,Ahipara,NZ,65.93,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
243,Boende,CD,79.5,overcast clouds,-0.2167,20.8667,
244,Malanje,AO,64.56,light rain,-9.5402,16.341,Hotel Ginga
