City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
186,Abu Dhabi,AE,2022-02-13 20:54:28,24.4667,54.3667,64.96,62,20,4.61,few clouds
187,Novovarshavka,RU,2022-02-13 20:54:29,54.1721,74.6946,-4.47,99,49,8.34,scattered clouds
188,Mtambile,TZ,2022-02-13 20:52:29,-5.3833,39.7,78.76,80,80,9.91,broken clouds
189,Pitimbu,BR,2022-02-13 20:54:29,-7.4706,-34.8086,84.79,73,6,10.69,clear sky
190,Port Hardy,CA,2022-02-13 20:54:30,50.6996,-127.4199,48.76,66,75,14.97,broken clouds
191,Pucara,PE,2022-02-13 20:54:30,-15.9803,-71.4606,42.93,73,99,11.12,moderate rain
192,Vaitape,PF,2022-02-13 20:54:31,-16.5167,-151.75,80.73,74,100,14.9,light rain
193,Porto Walter,BR,2022-02-13 20:54:31,-8.2686,-72.7439,82.33,78,92,2.86,light rain
194,Namatanai,PG,2022-02-13 20:54:31,-3.6667,152.4333,79.57,79,100,4.7,overcast clouds
195,Harper,LR,2022-02-13 20:54:32,4.375,-7.7169,78.26,84,66,6.04,broken clouds
196,Makakilo City,US,2022-02-13 20:54:32,21.3469,-158.0858,76.6,66,0,5.75,clear sky
197,Poum,NC,2022-02-13 20:54:33,-20.2333,164.0167,81.48,77,95,12.95,overcast clouds
198,Paamiut,GL,2022-02-13 20:54:33,61.994,-49.6678,12.04,94,100,18.45,light snow
199,Cabo San Lucas,MX,2022-02-13 20:54:34,22.8909,-109.9124,84.51,62,99,5.01,overcast clouds
200,Russell,US,2022-02-13 20:54:34,32.3502,-85.1999,53.06,23,0,17.27,clear sky
201,Klaksvik,FO,2022-02-13 20:54:34,62.2266,-6.589,34.72,67,100,29.97,overcast clouds
202,Richards Bay,ZA,2022-02-13 20:54:35,-28.783,32.0377,76.59,90,59,5.35,broken clouds
203,Lady Frere,ZA,2022-02-13 20:54:35,-31.7031,27.2329,65.7,99,30,4.85,scattered clouds
204,Margate,GB,2022-02-13 20:54:36,51.3813,1.3862,49.96,88,100,11.99,light rain
205,Andenes,NO,2022-02-13 20:54:36,69.3143,16.1194,30.18,80,40,26.46,scattered clouds
206,Gurupi,BR,2022-02-13 20:54:37,-11.7292,-49.0686,76.93,90,98,2.86,overcast clouds
207,Khilok,RU,2022-02-13 20:54:37,51.3674,110.4676,-22.7,100,56,2.37,broken clouds
208,Mamallapuram,IN,2022-02-13 20:54:37,12.6264,80.1722,79.05,77,25,8.81,scattered clouds
209,Souillac,MU,2022-02-13 20:47:51,-20.5167,57.5167,81.36,89,40,8.05,scattered clouds
210,Pevek,RU,2022-02-13 20:54:38,69.7008,170.3133,-17.37,98,100,9.08,overcast clouds
211,Pisco,PE,2022-02-13 20:54:39,-13.7,-76.2167,78.85,53,0,16.11,clear sky
212,Upernavik,GL,2022-02-13 20:51:36,72.7868,-56.1549,-6.74,97,100,13.49,overcast clouds
213,Sume,BR,2022-02-13 20:54:39,-7.6717,-36.88,86.27,34,90,7.76,overcast clouds
214,Acarau,BR,2022-02-13 20:50:44,-2.8856,-40.12,80.51,77,7,15.28,clear sky
215,Iqaluit,CA,2022-02-13 20:54:40,63.7506,-68.5145,-16.31,68,75,0.0,broken clouds
216,Gavle,SE,2022-02-13 20:54:40,60.6745,17.1417,45.72,88,100,7.0,overcast clouds
217,Portadown,GB,2022-02-13 20:54:40,54.4241,-6.4412,42.62,94,100,10.63,light rain
218,Bezhetsk,RU,2022-02-13 20:54:41,57.7851,36.6965,26.55,86,100,13.33,overcast clouds
219,Matola,MZ,2022-02-13 20:54:41,-25.9622,32.4589,79.52,78,20,5.75,few clouds
220,Guerrero Negro,MX,2022-02-13 20:54:42,27.9769,-114.0611,81.52,19,15,6.06,few clouds
221,Darhan,MN,2022-02-13 20:54:42,49.4867,105.9228,-12.15,98,100,2.66,overcast clouds
222,Rio Bueno,CL,2022-02-13 20:54:42,-40.3167,-72.9667,84.34,24,20,4.47,few clouds
223,La Paz,BO,2022-02-13 20:53:03,-16.5,-68.15,53.58,76,75,9.22,light rain
224,Ushtobe,KZ,2022-02-13 20:54:43,45.2514,77.9838,25.93,89,100,2.89,light snow
225,Ust-Charyshskaya Pristan,RU,2022-02-13 20:54:43,52.3934,83.6635,25.12,76,100,15.61,overcast clouds
226,Sao Filipe,CV,2022-02-13 20:54:44,14.8961,-24.4956,74.82,63,41,10.78,scattered clouds
227,Lillooet,CA,2022-02-13 20:54:44,50.6856,-121.942,43.52,82,90,1.1,overcast clouds
228,Roald,NO,2022-02-13 20:50:56,62.5833,6.1333,43.16,100,75,2.3,broken clouds
229,Morro Bay,US,2022-02-13 20:50:18,35.3658,-120.8499,85.33,59,0,3.0,clear sky
230,Arkhipo-Osipovka,RU,2022-02-13 20:54:45,44.37,38.52,36.34,69,69,14.2,broken clouds
231,Hilo,US,2022-02-13 20:51:39,19.7297,-155.09,74.25,86,4,5.01,clear sky
232,Tasiilaq,GL,2022-02-13 20:54:46,65.6145,-37.6368,14.58,70,100,10.87,overcast clouds
233,Xiantao,CN,2022-02-13 20:54:46,30.3833,113.4,39.33,84,1,2.59,clear sky
234,Lata,PT,2022-02-13 20:54:46,40.1629,-8.3327,53.82,95,63,5.5,broken clouds
235,Port-Gentil,GA,2022-02-13 20:54:47,-0.7193,8.7815,76.96,94,75,1.14,broken clouds
236,Miles City,US,2022-02-13 20:54:47,46.4083,-105.8406,52.52,30,100,19.15,overcast clouds
237,Kunszentmarton,HU,2022-02-13 20:54:48,46.8392,20.2888,31.98,96,8,6.08,clear sky
238,Kamenka,RU,2022-02-13 20:54:48,51.3223,42.7678,12.56,95,13,7.92,few clouds
239,Kaeo,NZ,2022-02-13 20:54:48,-35.1,173.7833,64.33,89,86,5.37,overcast clouds
240,Kingaroy,AU,2022-02-13 20:54:49,-26.5333,151.8333,62.64,100,100,8.05,overcast clouds
241,Teahupoo,PF,2022-02-13 20:54:49,-17.8333,-149.2667,80.56,76,91,17.18,light rain
242,Ahipara,NZ,2022-02-13 20:54:50,-35.1667,173.1667,65.93,65,86,9.37,overcast clouds
243,Boende,CD,2022-02-13 20:54:50,-0.2167,20.8667,79.5,66,97,2.01,overcast clouds
244,Malanje,AO,2022-02-13 20:54:50,-9.5402,16.341,64.56,94,100,4.99,light rain
245,Sulangan,PH,2022-02-13 20:54:51,11.1373,123.7228,79.05,82,100,10.83,overcast clouds
246,Beisfjord,NO,2022-02-13 20:54:51,68.3751,17.5988,27.97,96,100,8.48,snow
247,Svetlogorsk,BY,2022-02-13 20:54:52,52.6333,29.7333,28.11,82,36,11.12,scattered clouds
248,Bubaque,GW,2022-02-13 20:54:52,11.2833,-15.8333,78.3,71,3,13.98,clear sky
249,Romanovo,RU,2022-02-13 20:54:53,52.6182,81.2271,21.65,91,100,17.74,overcast clouds
250,Kupang,ID,2022-02-13 20:54:53,-10.1667,123.5833,76.8,85,61,4.29,broken clouds
251,Gikongoro,RW,2022-02-13 20:54:54,-2.464,29.5739,56.59,89,100,4.94,overcast clouds
252,Nanakuli,US,2022-02-13 20:51:55,21.3906,-158.1547,78.75,64,20,5.75,few clouds
253,Yarkovo,RU,2022-02-13 20:54:54,57.4028,67.0786,-8.21,100,70,1.01,broken clouds
254,Georgetown,MY,2022-02-13 20:54:55,5.4112,100.3354,79.9,91,40,3.44,scattered clouds
255,Mecca,SA,2022-02-13 20:54:55,21.4267,39.8261,75.29,33,0,5.7,clear sky
256,Laguna,US,2022-02-13 20:54:56,38.421,-121.4238,80.44,39,20,1.99,few clouds
257,Vila Velha,BR,2022-02-13 20:54:56,-20.3297,-40.2925,82.35,86,75,13.8,broken clouds
258,Calama,CL,2022-02-13 20:54:56,-22.4667,-68.9333,75.69,16,0,26.46,clear sky
259,Santa Flavia,IT,2022-02-13 20:54:57,38.085,13.5351,52.63,73,28,3.0,scattered clouds
